Compound_ID,SMILES,Activity_Label
CHEMBL131401,N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1cc(F)c(F)c(F)c1)NC(=O)[C@@H](Cc1ccccc1)NS(=O)(=O)Cc1ccccc1)C(=O)c1nccs1,1
CHEMBL131452,N=C(N)NCCC[C@H](NC(=O)[C@H](COCc1ccccc1)NC(=O)[C@@H](Cc1ccccc1)NS(=O)(=O)Cc1ccccc1)C(=O)c1nccs1,1
CHEMBL132057,N=C(N)NCCC[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)[C@@H](Cc1ccccc1)NS(=O)(=O)Cc1ccccc1)C(=O)c1nccs1,1
CHEMBL132395,N=C(N)NCCC[C@H](NC(=O)[C@H](CC(=O)OC1CCCCC1)NC(=O)[C@@H](Cc1ccccc1)NS(=O)(=O)Cc1ccccc1)C(=O)c1nccs1,1
CHEMBL134792,N=C(N)c1ccc(CNC(=O)Cc2c(F)ccc(NCCc3ccccc3)c2F)cc1,0
CHEMBL136098,N=C(N)c1cccc(CNC(=O)Cc2c(F)ccc(NS(=O)(=O)Cc3ccccc3)c2F)c1,0
CHEMBL136290,O=C(Cc1c(F)ccc(NS(=O)(=O)Cc2ccccc2)c1F)NCC1CCNCC1,0
CHEMBL136788,N=C(N)NCCCCCNC(=O)Cc1c(F)ccc(NS(=O)(=O)Cc2ccccc2)c1F,0
CHEMBL137337,O=C(Cc1c(F)ccc(NS(=O)(=O)Cc2ccccc2)c1F)NCCCn1ccnc1,0
CHEMBL137444,COc1c(NCCc2ccccc2)ccc(-c2ccccc2)c1CC(=O)NCc1ccc(C(=N)N)cc1,0
CHEMBL137483,N=C(N)c1ccc(CNC(=O)Cc2c(F)ccc(NS(=O)(=O)Cc3ccccc3)c2F)cc1,0
CHEMBL137487,N=C(N)c1ccc(CNC(=O)Cc2c(-c3cccc(N)c3)ccc(NCc3ccccc3)c2F)cc1,1
CHEMBL138119,N=C(N)c1ccc(CNC(=O)Cc2c(-c3ccccc3)ccc(NCCc3ccccc3)c2O)cc1,1
CHEMBL140009,CC(C)Nc1ccc(-c2cc(N)cc(C(=O)O)c2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,1
CHEMBL142205,CC(C)Nc1ccc(-c2cc(N)cc(N)c2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,1
