Compound_ID,SMILES,Activity_Label,Source
CHEMBL203008,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4ccccc4F)c3O)nc2c1,1,ChEMBL_PKM2
CHEMBL203046,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cccc(N)c4)c3O)nc2c1,1,ChEMBL_PKM2
CHEMBL203055,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cccc(Cl)c4)c3O)nc2c1,1,ChEMBL_PKM2
CHEMBL203728,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cc(Cl)cc(Cl)c4O)c3O)nc2c1,1,ChEMBL_PKM2
CHEMBL203825,CC(=O)c1ccccc1-c1cc(C(CC(=O)O)C(=O)O)cc(-c2nc3cc(C(=N)N)ccc3[nH]2)c1O,1,ChEMBL_PKM2
CHEMBL203834,Oc1ccccc1-c1cccc(-c2nc3ccccc3[nH]2)c1O,0,ChEMBL_PKM2
CHEMBL2040983,O=C(Nc1ccc(N2CCOCC2=O)cc1)[C@H]1Cc2ccccc2CN1C(=O)Cc1ccc(Cl)cc1,0,ChEMBL_PKM2
CHEMBL204126,N=C(N)c1ccc2[nH]c(Cc3ccccn3)nc2c1,0,ChEMBL_PKM2
CHEMBL204159,COc1ccc(F)cc1-c1cc(C(CC(=O)O)C(=O)O)cc(-c2nc3cc(C(=N)N)ccc3[nH]2)c1O,1,ChEMBL_PKM2
CHEMBL204228,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cccnc4)c3O)nc2c1,1,ChEMBL_PKM2
CHEMBL204283,Cc1ccccc1-c1cc(C(CC(=O)O)C(=O)O)cc(-c2nc3cc(C(=N)N)ccc3[nH]2)c1O,1,ChEMBL_PKM2
CHEMBL204561,Nc1ccc2[nH]c(-c3cc(CC(=O)O)cc(-c4cccc(O)c4)c3O)cc2n1,1,ChEMBL_PKM2
CHEMBL204582,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4ccccc4CS)c3O)nc2c1,1,ChEMBL_PKM2
CHEMBL204723,Nc1ccc2[nH]c(-c3cc(CC(=O)O)cc(-c4cccc(CNC(=O)Nc5ccccc5)c4)c3O)cc2n1,1,ChEMBL_PKM2
CHEMBL204997,N=C(N)c1ccc2[nH]c(-c3n[nH]c(-c4ccccc4)c3O)nc2c1,1,ChEMBL_PKM2
CHEMBL205128,N#Cc1cccc(-c2cc(C(CC(=O)O)C(=O)O)cc(-c3nc4cc(C(=N)N)ccc4[nH]3)c2O)c1,1,ChEMBL_PKM2
CHEMBL205208,Cc1cccc(-c2cc(C(CC(=O)O)C(=O)O)cc(-c3nc4cc(C(=N)N)ccc4[nH]3)c2O)c1,1,ChEMBL_PKM2
CHEMBL205243,N=C(N)c1ccc2[nH]c(-c3cccc(-c4cc(F)ccc4O)c3O)nc2c1,1,ChEMBL_PKM2
